Date,Open,High,Low,Close,Volume
02/05/2010 00:00,1177.78,1213.13,1157.62,1207.87,343607
09/05/2010 00:00,1200.43,1249.12,1184.06,1232.46,303711
16/05/2010 00:00,1232.97,1242.06,1166.34,1176.81,383971
23/05/2010 00:00,1180.82,1218.26,1179.35,1214.05,305511
30/05/2010 00:00,1214.05,1228.62,1196.8,1219.58,291309
06/06/2010 00:00,1219.81,1251.69,1210.52,1226.25,343560
13/06/2010 00:00,1230.32,1262.08,1216.54,1256.58,137634
20/06/2010 00:00,1259.55,1265.02,1224.56,1255.45,131780
27/06/2010 00:00,1254.3,1262.5,1196.35,1211.33,162324
04/07/2010 00:00,1210.93,1214.28,1184.78,1211.54,127298
11/07/2010 00:00,1211.08,1217.75,1186,1192.68,131179
18/07/2010 00:00,1192.55,1203.75,1175.66,1188.82,144146
25/07/2010 00:00,1189.2,1194.53,1157,1180.55,118449
01/08/2010 00:00,1181.13,1210.74,1174.53,1204.98,118756
08/08/2010 00:00,1205.3,1217.38,1190.58,1215.2,119875
15/08/2010 00:00,1214.7,1237.25,1214.05,1227.58,107115
22/08/2010 00:00,1227.55,1243.94,1210.71,1237.8,123420
29/08/2010 00:00,1237.2,1254.48,1231.79,1246.34,116823
05/09/2010 00:00,1248.15,1262.05,1236.5,1245.75,96392
12/09/2010 00:00,1244.93,1282.58,1241.01,1273.93,125710
19/09/2010 00:00,1276.9,1299.66,1270.93,1296.18,236898
26/09/2010 00:00,1295.61,1320.44,1282.75,1318.72,277645
03/10/2010 00:00,1319.82,1349.6,1312.27,1347.21,273179
10/10/2010 00:00,1353.13,1387.03,1340.13,1368.17,377192
17/10/2010 00:00,1367.83,1374.76,1315.14,1328.18,391892
24/10/2010 00:00,1331.66,1359.3,1318.8,1359,187780
31/10/2010 00:00,1361.2,1397.95,1325.55,1393.25,150830
07/11/2010 00:00,1397.7,1424.3,1382.6,1412,120325
14/11/2010 00:00,1373.08,1376.6,1329.5,1353.15,204624
21/11/2010 00:00,1358.3,1382.18,1348.35,1363.1,147281
28/11/2010 00:00,1358.15,1415.45,1353.2,1413.4,151477
05/12/2010 00:00,1410.17,1430.88,1371.38,1385.7,176724
12/12/2010 00:00,1403.5,1407.8,1361.19,1374.85,112107
19/12/2010 00:00,1382.61,1391.84,1372.18,1383,245074
26/12/2010 00:00,1376.82,1414.48,1376.32,1408.13,164101
02/01/2011 00:00,1415.71,1423.77,1352.79,1368.78,226389
09/01/2011 00:00,1369.34,1393,1354.95,1361.78,274637
16/01/2011 00:00,1363.49,1378.77,1337.61,1342.35,411096
23/01/2011 00:00,1345.82,1353.08,1307.88,1336.31,400307
30/01/2011 00:00,1344.47,1357.87,1322.96,1348.65,453110
06/02/2011 00:00,1346.52,1368,1344.99,1356.63,398661
13/02/2011 00:00,1354.1,1391.65,1354.1,1389.79,207262
20/02/2011 00:00,1391.4,1417.94,1390.63,1410.15,401527
27/02/2011 00:00,1413.85,1440.01,1404.67,1430.64,440554
06/03/2011 00:00,1434.65,1444.48,1402.87,1417.2,448063
13/03/2011 00:00,1425.68,1430.23,1380.88,1418.16,438978
20/03/2011 00:00,1424.28,1447.4,1419.32,1429.32,75996
27/03/2011 00:00,1424.9,1439.3,1410.08,1428.35,91965
03/04/2011 00:00,1428.45,1474.83,1427.6,1474.53,81889
10/04/2011 00:00,1475.2,1487.85,1445.63,1486.35,101667
17/04/2011 00:00,1485.3,1507.95,1477.3,1504.95,20645
24/04/2011 00:00,1516.23,1569,1493.15,1563.3,61996
01/05/2011 00:00,1547.25,1575.13,1462.35,1495,162783
08/05/2011 00:00,1494.25,1526.37,1478.08,1494.6,117209
15/05/2011 00:00,1490.5,1515.65,1471.68,1512.85,111923
22/05/2011 00:00,1512.15,1538.15,1503.8,1535.96,122946
29/05/2011 00:00,1535.95,1549.88,1519.55,1542.15,71119
05/06/2011 00:00,1541.9,1553.43,1525.9,1531.12,91346
12/06/2011 00:00,1528.83,1541.9,1510.83,1539.38,127136
19/06/2011 00:00,1539.7,1557.86,1498.37,1502.29,176035
26/06/2011 00:00,1498.7,1513.97,1478.05,1487.25,353801
03/07/2011 00:00,1494.85,1545.2,1492.85,1543.75,267850
10/07/2011 00:00,1542.46,1594.07,1540.43,1592.79,374562
17/07/2011 00:00,1593.55,1609.75,1495.75,1600.85,303474
24/07/2011 00:00,1608.45,1632.35,1603,1626.27,349513
31/07/2011 00:00,1610.2,1681.8,1607.88,1665.12,292013
07/08/2011 00:00,1684.1,1813.77,1682.3,1742.98,328222
14/08/2011 00:00,1744.97,1876.66,1727.67,1851.51,252943
21/08/2011 00:00,1865.66,1911.63,1702.55,1825.27,403830
28/08/2011 00:00,1832.26,1884.33,1775.74,1881.92,303766
04/09/2011 00:00,1880.85,1920.61,1792.41,1857.02,306417
11/09/2011 00:00,1857.46,1861.28,1762.44,1808.8,314723
18/09/2011 00:00,1818.58,1827.68,1628.82,1653.92,326126
25/09/2011 00:00,1647.36,1677,1531.94,1623.68,383369
02/10/2011 00:00,1623.68,1678.35,1595.65,1636.48,301312
09/10/2011 00:00,1638.97,1692.03,1638.83,1680.62,253227
16/10/2011 00:00,1682.44,1694.79,1603.52,1641.77,282435
23/10/2011 00:00,1638.8,1752.22,1635.28,1743.07,262892
30/10/2011 00:00,1741.49,1767.41,1680.97,1754.18,257841
06/11/2011 00:00,1753,1802.79,1735.47,1787.98,252729
13/11/2011 00:00,1787.96,1796.01,1710.32,1723.6,267684
20/11/2011 00:00,1722.09,1726.23,1666.33,1682.33,254860
27/11/2011 00:00,1687.71,1763.03,1686.84,1745.82,262122
04/12/2011 00:00,1750.16,1755.87,1701.95,1710.48,279033
11/12/2011 00:00,1713.53,1714.48,1560.08,1598.64,327841
18/12/2011 00:00,1601.92,1641.61,1583.25,1606.56,237501
25/12/2011 00:00,1605.06,1605.43,1522.64,1564.11,176621
01/01/2012 00:00,1567.37,1631.14,1566.07,1616.55,237381
08/01/2012 00:00,1614.34,1661.98,1605.03,1638.21,291566
15/01/2012 00:00,1635.47,1670.05,1631.45,1666.81,272775
22/01/2012 00:00,1666.22,1739.73,1648.99,1738.65,262566
29/01/2012 00:00,1735.59,1763.16,1716.16,1725.37,301808
05/02/2012 00:00,1728.59,1752.59,1704.64,1721.39,277246
12/02/2012 00:00,1727.96,1737.27,1705.23,1722.87,263639
19/02/2012 00:00,1727.67,1787.26,1727.67,1772.05,229807
26/02/2012 00:00,1773.98,1790.56,1685.96,1711.38,214837
04/03/2012 00:00,1711.98,1716.7,1662.86,1713.69,271872
11/03/2012 00:00,1713.4,1713.55,1634.44,1659.31,271415
18/03/2012 00:00,1660.42,1669.72,1628.08,1661.26,274294
25/03/2012 00:00,1664.21,1696.95,1645.19,1666.95,461848
01/04/2012 00:00,1671.34,1683.46,1612.39,1630.65,581355
08/04/2012 00:00,1644.61,1679.85,1631.8,1655.57,645034
15/04/2012 00:00,1653.14,1657.69,1631.09,1642.56,646872
22/04/2012 00:00,1639.87,1667.44,1623.21,1662.37,651715
29/04/2012 00:00,1664.05,1671.45,1626.43,1641.17,598107
06/05/2012 00:00,1639.73,1642.6,1574.42,1579.11,703740
13/05/2012 00:00,1582.16,1597.59,1526.96,1592.18,780039
20/05/2012 00:00,1592.76,1599.13,1533.14,1572.56,714779
27/05/2012 00:00,1575.45,1629.53,1533.21,1623.04,699108
03/06/2012 00:00,1623.78,1640.63,1560.99,1592.32,844546
10/06/2012 00:00,1600.94,1633.63,1581.74,1623.99,547056
17/06/2012 00:00,1623.08,1633.18,1558.1,1571.29,604640
24/06/2012 00:00,1572.36,1606.79,1547.9,1596.56,539329
01/07/2012 00:00,1597.61,1624.93,1576.39,1582.5,482787
08/07/2012 00:00,1579.15,1601.17,1554.94,1588.72,495207
15/07/2012 00:00,1590.57,1598.93,1567.7,1583.53,543449
22/07/2012 00:00,1580.48,1629.38,1563.16,1622.35,559559
29/07/2012 00:00,1624.04,1627.89,1583.83,1602.24,506431
05/08/2012 00:00,1601.38,1626.39,1600.74,1619.48,473942
12/08/2012 00:00,1620.09,1625.6,1589.2,1614.76,454063
19/08/2012 00:00,1617.42,1674.81,1609.75,1669.44,447892
